Namespace(aux=False, aux_weight=0.5, backbone='resnet50', base_size=768, batch_size=16, checkname='icnet_resnet50_mhp', clip_grad=0, crop_size=768, ctx=[gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)], dataset='mhp', dtype='float32', epochs=30, eval=False, kvstore='device', log_interval=1, logging_file='train.log', lr=0.0005, mode=None, model='icnet', model_zoo=None, momentum=0.9, ngpus=8, no_cuda=False, no_val=False, no_wd=False, norm_kwargs={'num_devices': 8}, norm_layer=<class 'mxnet.gluon.contrib.nn.basic_layers.SyncBatchNorm'>, resume=None, save_dir='runs/mhp/icnet/resnet50/', start_epoch=0, syncbn=True, test_batch_size=16, train_split='train', weight_decay=0.0001, workers=48)
Starting Epoch: 0
Total Epochs: 30
Epoch 0 iteration 0001/0187: training loss 3.278; learning rate 0.000500
Epoch 0 iteration 0101/0188: training loss 1.733; learning rate 0.000492
Epoch 0 iteration 0102/0188: training loss 1.732; learning rate 0.000492
Epoch 0 iteration 0103/0188: training loss 1.730; learning rate 0.000492
Epoch 0 iteration 0104/0188: training loss 1.725; learning rate 0.000492
Epoch 0 iteration 0105/0188: training loss 1.721; learning rate 0.000491
Epoch 0 iteration 0106/0188: training loss 1.714; learning rate 0.000491
Epoch 0 iteration 0107/0188: training loss 1.709; learning rate 0.000491
Epoch 0 iteration 0108/0188: training loss 1.705; learning rate 0.000491
Epoch 0 iteration 0109/0188: training loss 1.699; learning rate 0.000491
Epoch 0 iteration 0110/0188: training loss 1.695; learning rate 0.000491
Epoch 0 iteration 0111/0188: training loss 1.690; learning rate 0.000491
Epoch 0 iteration 0112/0188: training loss 1.685; learning rate 0.000491
Epoch 0 iteration 0113/0188: training loss 1.679; learning rate 0.000491
Epoch 0 iteration 0114/0188: training loss 1.673; learning rate 0.000491
Epoch 0 iteration 0115/0188: training loss 1.671; learning rate 0.000491
Epoch 0 iteration 0116/0188: training loss 1.668; learning rate 0.000491
Epoch 0 iteration 0117/0188: training loss 1.665; learning rate 0.000491
Epoch 0 iteration 0118/0188: training loss 1.657; learning rate 0.000490
Epoch 0 iteration 0119/0188: training loss 1.653; learning rate 0.000490
Epoch 0 iteration 0120/0188: training loss 1.648; learning rate 0.000490
Epoch 0 iteration 0121/0188: training loss 1.646; learning rate 0.000490
Epoch 0 iteration 0122/0188: training loss 1.648; learning rate 0.000490
Epoch 0 iteration 0123/0188: training loss 1.644; learning rate 0.000490
Epoch 0 iteration 0124/0188: training loss 1.639; learning rate 0.000490
Epoch 0 iteration 0125/0188: training loss 1.636; learning rate 0.000490
Epoch 0 iteration 0126/0188: training loss 1.633; learning rate 0.000490
Epoch 0 iteration 0127/0188: training loss 1.630; learning rate 0.000490
Epoch 0 iteration 0128/0188: training loss 1.629; learning rate 0.000490
Epoch 0 iteration 0129/0188: training loss 1.625; learning rate 0.000490
Epoch 0 iteration 0130/0188: training loss 1.621; learning rate 0.000489
Epoch 0 iteration 0131/0188: training loss 1.617; learning rate 0.000489
Epoch 0 iteration 0132/0188: training loss 1.612; learning rate 0.000489
Epoch 0 iteration 0133/0188: training loss 1.609; learning rate 0.000489
Epoch 0 iteration 0134/0188: training loss 1.608; learning rate 0.000489
Epoch 0 iteration 0135/0188: training loss 1.604; learning rate 0.000489
Epoch 0 iteration 0136/0188: training loss 1.600; learning rate 0.000489
Epoch 0 iteration 0137/0188: training loss 1.596; learning rate 0.000489
Epoch 0 iteration 0138/0188: training loss 1.594; learning rate 0.000489
Epoch 0 iteration 0139/0188: training loss 1.594; learning rate 0.000489
Epoch 0 iteration 0140/0188: training loss 1.593; learning rate 0.000489
Epoch 0 iteration 0141/0188: training loss 1.593; learning rate 0.000489
Epoch 0 iteration 0142/0188: training loss 1.588; learning rate 0.000489
Epoch 0 iteration 0143/0188: training loss 1.586; learning rate 0.000488
Epoch 0 iteration 0144/0188: training loss 1.582; learning rate 0.000488
Epoch 0 iteration 0145/0188: training loss 1.579; learning rate 0.000488
Epoch 0 iteration 0146/0188: training loss 1.574; learning rate 0.000488
Epoch 0 iteration 0147/0188: training loss 1.572; learning rate 0.000488
Epoch 0 iteration 0148/0188: training loss 1.572; learning rate 0.000488
Epoch 0 iteration 0149/0188: training loss 1.570; learning rate 0.000488
Epoch 0 iteration 0150/0188: training loss 1.566; learning rate 0.000488
Epoch 0 iteration 0151/0188: training loss 1.563; learning rate 0.000488
Epoch 0 iteration 0152/0188: training loss 1.565; learning rate 0.000488
Epoch 0 iteration 0153/0188: training loss 1.560; learning rate 0.000488
Epoch 0 iteration 0154/0188: training loss 1.559; learning rate 0.000488
Epoch 0 iteration 0155/0188: training loss 1.555; learning rate 0.000487
Epoch 0 iteration 0156/0188: training loss 1.550; learning rate 0.000487
Epoch 0 iteration 0157/0188: training loss 1.546; learning rate 0.000487
Epoch 0 iteration 0158/0188: training loss 1.544; learning rate 0.000487
Epoch 0 iteration 0159/0188: training loss 1.541; learning rate 0.000487
Epoch 0 iteration 0160/0188: training loss 1.537; learning rate 0.000487
Epoch 0 iteration 0161/0188: training loss 1.535; learning rate 0.000487
Epoch 0 iteration 0162/0188: training loss 1.532; learning rate 0.000487
Epoch 0 iteration 0163/0188: training loss 1.529; learning rate 0.000487
Epoch 0 iteration 0164/0188: training loss 1.524; learning rate 0.000487
Epoch 0 iteration 0165/0188: training loss 1.522; learning rate 0.000487
Epoch 0 iteration 0166/0188: training loss 1.520; learning rate 0.000487
Epoch 0 iteration 0167/0188: training loss 1.517; learning rate 0.000487
Epoch 0 iteration 0168/0188: training loss 1.513; learning rate 0.000486
Epoch 0 iteration 0169/0188: training loss 1.512; learning rate 0.000486
Epoch 0 iteration 0170/0188: training loss 1.508; learning rate 0.000486
Epoch 0 iteration 0171/0188: training loss 1.506; learning rate 0.000486
Epoch 0 iteration 0172/0188: training loss 1.502; learning rate 0.000486
Epoch 0 iteration 0173/0188: training loss 1.502; learning rate 0.000486
Epoch 0 iteration 0174/0188: training loss 1.501; learning rate 0.000486
Epoch 0 iteration 0175/0188: training loss 1.498; learning rate 0.000486
Epoch 0 iteration 0176/0188: training loss 1.495; learning rate 0.000486
Epoch 0 iteration 0177/0188: training loss 1.493; learning rate 0.000486
Epoch 0 iteration 0178/0188: training loss 1.490; learning rate 0.000486
Epoch 0 iteration 0179/0188: training loss 1.488; learning rate 0.000486
Epoch 0 iteration 0180/0188: training loss 1.485; learning rate 0.000485
Epoch 0 iteration 0181/0188: training loss 1.484; learning rate 0.000485
Epoch 0 iteration 0182/0188: training loss 1.482; learning rate 0.000485
Epoch 0 iteration 0183/0188: training loss 1.479; learning rate 0.000485
Epoch 0 iteration 0184/0188: training loss 1.477; learning rate 0.000485
Epoch 0 iteration 0185/0188: training loss 1.473; learning rate 0.000485
Epoch 0 iteration 0186/0188: training loss 1.472; learning rate 0.000485
Epoch 0 validation pixAcc: 0.303, mIoU: 0.125
Epoch 1 iteration 0001/0187: training loss 1.195; learning rate 0.000485
Epoch 1 iteration 0002/0187: training loss 1.027; learning rate 0.000485
Epoch 1 iteration 0003/0187: training loss 1.097; learning rate 0.000485
Epoch 1 iteration 0004/0187: training loss 1.076; learning rate 0.000485
Epoch 1 iteration 0005/0187: training loss 1.115; learning rate 0.000484
Epoch 1 iteration 0006/0187: training loss 1.098; learning rate 0.000484
Epoch 1 iteration 0007/0187: training loss 1.084; learning rate 0.000484
Epoch 1 iteration 0008/0187: training loss 1.095; learning rate 0.000484
Epoch 1 iteration 0009/0187: training loss 1.151; learning rate 0.000484
Epoch 1 iteration 0010/0187: training loss 1.148; learning rate 0.000484
Epoch 1 iteration 0011/0187: training loss 1.149; learning rate 0.000484
Epoch 1 iteration 0012/0187: training loss 1.144; learning rate 0.000484
Epoch 1 iteration 0013/0187: training loss 1.155; learning rate 0.000484
Epoch 1 iteration 0014/0187: training loss 1.134; learning rate 0.000484
Epoch 1 iteration 0015/0187: training loss 1.125; learning rate 0.000484
Epoch 1 iteration 0016/0187: training loss 1.113; learning rate 0.000484
Epoch 1 iteration 0017/0187: training loss 1.109; learning rate 0.000484
Epoch 1 iteration 0018/0187: training loss 1.104; learning rate 0.000483
Epoch 1 iteration 0019/0187: training loss 1.093; learning rate 0.000483
Epoch 1 iteration 0020/0187: training loss 1.082; learning rate 0.000483
Epoch 1 iteration 0021/0187: training loss 1.081; learning rate 0.000483
Epoch 1 iteration 0022/0187: training loss 1.086; learning rate 0.000483
Epoch 1 iteration 0023/0187: training loss 1.070; learning rate 0.000483
Epoch 1 iteration 0024/0187: training loss 1.073; learning rate 0.000483
Epoch 1 iteration 0025/0187: training loss 1.084; learning rate 0.000483
Epoch 1 iteration 0026/0187: training loss 1.101; learning rate 0.000483
Epoch 1 iteration 0027/0187: training loss 1.099; learning rate 0.000483
Epoch 1 iteration 0028/0187: training loss 1.091; learning rate 0.000483
Epoch 1 iteration 0029/0187: training loss 1.090; learning rate 0.000483
Epoch 1 iteration 0030/0187: training loss 1.094; learning rate 0.000482
Epoch 1 iteration 0031/0187: training loss 1.096; learning rate 0.000482
Epoch 1 iteration 0032/0187: training loss 1.088; learning rate 0.000482
Epoch 1 iteration 0033/0187: training loss 1.085; learning rate 0.000482
Epoch 1 iteration 0034/0187: training loss 1.080; learning rate 0.000482
Epoch 1 iteration 0035/0187: training loss 1.077; learning rate 0.000482
Epoch 1 iteration 0036/0187: training loss 1.077; learning rate 0.000482
Epoch 1 iteration 0037/0187: training loss 1.071; learning rate 0.000482
Epoch 1 iteration 0038/0187: training loss 1.072; learning rate 0.000482
Epoch 1 iteration 0039/0187: training loss 1.066; learning rate 0.000482
Epoch 1 iteration 0040/0187: training loss 1.078; learning rate 0.000482
Epoch 1 iteration 0041/0187: training loss 1.079; learning rate 0.000482
Epoch 1 iteration 0042/0187: training loss 1.079; learning rate 0.000482
Epoch 1 iteration 0043/0187: training loss 1.074; learning rate 0.000481
Epoch 1 iteration 0044/0187: training loss 1.072; learning rate 0.000481
Epoch 1 iteration 0045/0187: training loss 1.071; learning rate 0.000481
Epoch 1 iteration 0046/0187: training loss 1.072; learning rate 0.000481
Epoch 1 iteration 0047/0187: training loss 1.066; learning rate 0.000481
Epoch 1 iteration 0048/0187: training loss 1.063; learning rate 0.000481
Epoch 1 iteration 0049/0187: training loss 1.059; learning rate 0.000481
Epoch 1 iteration 0050/0187: training loss 1.054; learning rate 0.000481
Epoch 1 iteration 0051/0187: training loss 1.052; learning rate 0.000481
Epoch 1 iteration 0052/0187: training loss 1.049; learning rate 0.000481
Epoch 1 iteration 0053/0187: training loss 1.056; learning rate 0.000481
Epoch 1 iteration 0054/0187: training loss 1.056; learning rate 0.000481
Epoch 1 iteration 0055/0187: training loss 1.055; learning rate 0.000480
Epoch 1 iteration 0056/0187: training loss 1.055; learning rate 0.000480
Epoch 1 iteration 0057/0187: training loss 1.056; learning rate 0.000480
Epoch 1 iteration 0058/0187: training loss 1.052; learning rate 0.000480
Epoch 1 iteration 0059/0187: training loss 1.049; learning rate 0.000480
Epoch 1 iteration 0060/0187: training loss 1.051; learning rate 0.000480
Epoch 1 iteration 0061/0187: training loss 1.045; learning rate 0.000480
Epoch 1 iteration 0062/0187: training loss 1.043; learning rate 0.000480
Epoch 1 iteration 0063/0187: training loss 1.041; learning rate 0.000480
Epoch 1 iteration 0064/0187: training loss 1.039; learning rate 0.000480
Epoch 1 iteration 0065/0187: training loss 1.041; learning rate 0.000480
Epoch 1 iteration 0066/0187: training loss 1.039; learning rate 0.000480
Epoch 1 iteration 0067/0187: training loss 1.033; learning rate 0.000479
Epoch 1 iteration 0068/0187: training loss 1.030; learning rate 0.000479
Epoch 1 iteration 0069/0187: training loss 1.027; learning rate 0.000479
Epoch 1 iteration 0070/0187: training loss 1.029; learning rate 0.000479
Epoch 1 iteration 0071/0187: training loss 1.029; learning rate 0.000479
Epoch 1 iteration 0072/0187: training loss 1.027; learning rate 0.000479
Epoch 1 iteration 0073/0187: training loss 1.031; learning rate 0.000479
Epoch 1 iteration 0074/0187: training loss 1.030; learning rate 0.000479
Epoch 1 iteration 0075/0187: training loss 1.034; learning rate 0.000479
Epoch 1 iteration 0076/0187: training loss 1.035; learning rate 0.000479
Epoch 1 iteration 0077/0187: training loss 1.034; learning rate 0.000479
Epoch 1 iteration 0078/0187: training loss 1.041; learning rate 0.000479
Epoch 1 iteration 0079/0187: training loss 1.038; learning rate 0.000479
Epoch 1 iteration 0080/0187: training loss 1.038; learning rate 0.000478
Epoch 1 iteration 0081/0187: training loss 1.037; learning rate 0.000478
Epoch 1 iteration 0082/0187: training loss 1.036; learning rate 0.000478
Epoch 1 iteration 0083/0187: training loss 1.037; learning rate 0.000478
Epoch 1 iteration 0084/0187: training loss 1.043; learning rate 0.000478
Epoch 1 iteration 0085/0187: training loss 1.043; learning rate 0.000478
Epoch 1 iteration 0086/0187: training loss 1.039; learning rate 0.000478
Epoch 1 iteration 0087/0187: training loss 1.037; learning rate 0.000478
Epoch 1 iteration 0088/0187: training loss 1.036; learning rate 0.000478
Epoch 1 iteration 0089/0187: training loss 1.034; learning rate 0.000478
Epoch 1 iteration 0090/0187: training loss 1.033; learning rate 0.000478
Epoch 1 iteration 0091/0187: training loss 1.035; learning rate 0.000478
Epoch 1 iteration 0092/0187: training loss 1.034; learning rate 0.000477
Epoch 1 iteration 0093/0187: training loss 1.035; learning rate 0.000477
Epoch 1 iteration 0094/0187: training loss 1.033; learning rate 0.000477
Epoch 1 iteration 0095/0187: training loss 1.033; learning rate 0.000477
Epoch 1 iteration 0096/0187: training loss 1.039; learning rate 0.000477
Epoch 1 iteration 0097/0187: training loss 1.042; learning rate 0.000477
Epoch 1 iteration 0098/0187: training loss 1.041; learning rate 0.000477
Epoch 1 iteration 0099/0187: training loss 1.037; learning rate 0.000477
Epoch 1 iteration 0100/0187: training loss 1.040; learning rate 0.000477
Epoch 1 iteration 0101/0187: training loss 1.038; learning rate 0.000477
Epoch 1 iteration 0102/0187: training loss 1.038; learning rate 0.000477
Epoch 1 iteration 0103/0187: training loss 1.035; learning rate 0.000477
Epoch 1 iteration 0104/0187: training loss 1.037; learning rate 0.000477
Epoch 1 iteration 0105/0187: training loss 1.040; learning rate 0.000476
Epoch 1 iteration 0106/0187: training loss 1.039; learning rate 0.000476
Epoch 1 iteration 0107/0187: training loss 1.042; learning rate 0.000476
Epoch 1 iteration 0108/0187: training loss 1.042; learning rate 0.000476
Epoch 1 iteration 0109/0187: training loss 1.040; learning rate 0.000476
Epoch 1 iteration 0110/0187: training loss 1.039; learning rate 0.000476
Epoch 1 iteration 0111/0187: training loss 1.038; learning rate 0.000476
Epoch 1 iteration 0112/0187: training loss 1.040; learning rate 0.000476
Epoch 1 iteration 0113/0187: training loss 1.039; learning rate 0.000476
Epoch 1 iteration 0114/0187: training loss 1.040; learning rate 0.000476
Epoch 1 iteration 0115/0187: training loss 1.038; learning rate 0.000476
Epoch 1 iteration 0116/0187: training loss 1.034; learning rate 0.000476
Epoch 1 iteration 0117/0187: training loss 1.033; learning rate 0.000475
Epoch 1 iteration 0118/0187: training loss 1.032; learning rate 0.000475
Epoch 1 iteration 0119/0187: training loss 1.029; learning rate 0.000475
Epoch 1 iteration 0120/0187: training loss 1.027; learning rate 0.000475
Epoch 1 iteration 0121/0187: training loss 1.030; learning rate 0.000475
Epoch 1 iteration 0122/0187: training loss 1.027; learning rate 0.000475
Epoch 1 iteration 0123/0187: training loss 1.026; learning rate 0.000475
Epoch 1 iteration 0124/0187: training loss 1.027; learning rate 0.000475
Epoch 1 iteration 0125/0187: training loss 1.026; learning rate 0.000475
Epoch 1 iteration 0126/0187: training loss 1.027; learning rate 0.000475
Epoch 1 iteration 0127/0187: training loss 1.027; learning rate 0.000475
Epoch 1 iteration 0128/0187: training loss 1.025; learning rate 0.000475
Epoch 1 iteration 0129/0187: training loss 1.027; learning rate 0.000474
Epoch 1 iteration 0130/0187: training loss 1.027; learning rate 0.000474
Epoch 1 iteration 0131/0187: training loss 1.025; learning rate 0.000474
Epoch 1 iteration 0132/0187: training loss 1.026; learning rate 0.000474
Epoch 1 iteration 0133/0187: training loss 1.024; learning rate 0.000474
Epoch 1 iteration 0134/0187: training loss 1.022; learning rate 0.000474
Epoch 1 iteration 0135/0187: training loss 1.019; learning rate 0.000474
Epoch 1 iteration 0136/0187: training loss 1.019; learning rate 0.000474
Epoch 1 iteration 0137/0187: training loss 1.021; learning rate 0.000474
Epoch 1 iteration 0138/0187: training loss 1.019; learning rate 0.000474
Epoch 1 iteration 0139/0187: training loss 1.019; learning rate 0.000474
Epoch 1 iteration 0140/0187: training loss 1.018; learning rate 0.000474
Epoch 1 iteration 0141/0187: training loss 1.019; learning rate 0.000474
Epoch 1 iteration 0142/0187: training loss 1.016; learning rate 0.000473
Epoch 1 iteration 0143/0187: training loss 1.015; learning rate 0.000473
Epoch 1 iteration 0144/0187: training loss 1.017; learning rate 0.000473
Epoch 1 iteration 0145/0187: training loss 1.015; learning rate 0.000473
Epoch 1 iteration 0146/0187: training loss 1.015; learning rate 0.000473
Epoch 1 iteration 0147/0187: training loss 1.017; learning rate 0.000473
Epoch 1 iteration 0148/0187: training loss 1.015; learning rate 0.000473
Epoch 1 iteration 0149/0187: training loss 1.013; learning rate 0.000473
Epoch 1 iteration 0150/0187: training loss 1.012; learning rate 0.000473
Epoch 1 iteration 0151/0187: training loss 1.013; learning rate 0.000473
Epoch 1 iteration 0152/0187: training loss 1.013; learning rate 0.000473
Epoch 1 iteration 0153/0187: training loss 1.012; learning rate 0.000473
Epoch 1 iteration 0154/0187: training loss 1.012; learning rate 0.000472
Epoch 1 iteration 0155/0187: training loss 1.012; learning rate 0.000472
Epoch 1 iteration 0156/0187: training loss 1.010; learning rate 0.000472
Epoch 1 iteration 0157/0187: training loss 1.009; learning rate 0.000472
Epoch 1 iteration 0158/0187: training loss 1.010; learning rate 0.000472
Epoch 1 iteration 0159/0187: training loss 1.010; learning rate 0.000472
Epoch 1 iteration 0160/0187: training loss 1.012; learning rate 0.000472
Epoch 1 iteration 0161/0187: training loss 1.013; learning rate 0.000472
Epoch 1 iteration 0162/0187: training loss 1.013; learning rate 0.000472
Epoch 1 iteration 0163/0187: training loss 1.014; learning rate 0.000472
Epoch 1 iteration 0164/0187: training loss 1.015; learning rate 0.000472
Epoch 1 iteration 0165/0187: training loss 1.014; learning rate 0.000472
Epoch 1 iteration 0166/0187: training loss 1.014; learning rate 0.000472
Epoch 1 iteration 0167/0187: training loss 1.014; learning rate 0.000471
Epoch 1 iteration 0168/0187: training loss 1.011; learning rate 0.000471
Epoch 1 iteration 0169/0187: training loss 1.011; learning rate 0.000471
Epoch 1 iteration 0170/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0171/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0172/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0173/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0174/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0175/0187: training loss 1.011; learning rate 0.000471
Epoch 1 iteration 0176/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0177/0187: training loss 1.012; learning rate 0.000471
Epoch 1 iteration 0178/0187: training loss 1.010; learning rate 0.000471
Epoch 1 iteration 0179/0187: training loss 1.009; learning rate 0.000470
Epoch 1 iteration 0180/0187: training loss 1.009; learning rate 0.000470
Epoch 1 iteration 0181/0187: training loss 1.008; learning rate 0.000470
Epoch 1 iteration 0182/0187: training loss 1.009; learning rate 0.000470
Epoch 1 iteration 0183/0187: training loss 1.009; learning rate 0.000470
Epoch 1 iteration 0184/0187: training loss 1.008; learning rate 0.000470
Epoch 1 iteration 0185/0187: training loss 1.007; learning rate 0.000470
Epoch 1 iteration 0186/0187: training loss 1.007; learning rate 0.000470
Epoch 1 iteration 0187/0187: training loss 1.006; learning rate 0.000470
Epoch 1 validation pixAcc: 0.319, mIoU: 0.140
Epoch 2 iteration 0001/0187: training loss 0.859; learning rate 0.000470
